Fühlerlehre,Substantiv,,f,Fühlerlehre,,,,,,,,,Fühlerlehren,,,,,,,,,Fühlerlehre,,,,,,,,,Fühlerlehren,,,,,,,,,Fühlerlehre,,,,,,,,,Fühlerlehren,,,,,,,,,Fühlerlehre,,,,,,,,,Fühlerlehren,,,,,,,,
Gabel,Substantiv,,f,Gabel,,,,,,,,,Gabeln,,,,,,,,,Gabel,,,,,,,,,Gabeln,,,,,,,,,Gabel,,,,,,,,,Gabeln,,,,,,,,,Gabel,,,,,,,,,Gabeln,,,,,,,,
Gabelschlüssel,Substantiv,,m,Gabelschlüssel,,,,,,,,,Gabelschlüssel,,,,,,,,,Gabelschlüssels,,,,,,,,,Gabelschlüssel,,,,,,,,,Gabelschlüssel,,,,,,,,,Gabelschlüsseln,,,,,,,,,Gabelschlüssel,,,,,,,,,Gabelschlüssel,,,,,,,,
Gartenschere,Substantiv,"Garten,Schere",f,Gartenschere,,,,,,,,,Gartenscheren,,,,,,,,,Gartenschere,,,,,,,,,Gartenscheren,,,,,,,,,Gartenschere,,,,,,,,,Gartenscheren,,,,,,,,,Gartenschere,,,,,,,,,Gartenscheren,,,,,,,,
Gattersäge,Substantiv,"Gatter,Säge",f,Gattersäge,,,,,,,,,Gattersägen,,,,,,,,,Gattersäge,,,,,,,,,Gattersägen,,,,,,,,,Gattersäge,,,,,,,,,Gattersägen,,,,,,,,,Gattersäge,,,,,,,,,Gattersägen,,,,,,,,
Geflügelschere,Substantiv,"Geflügel,Schere",f,Geflügelschere,,,,,,,,,Geflügelscheren,,,,,,,,,Geflügelschere,,,,,,,,,Geflügelscheren,,,,,,,,,Geflügelschere,,,,,,,,,Geflügelscheren,,,,,,,,,Geflügelschere,,,,,,,,,Geflügelscheren,,,,,,,,
Gehrungsschere,Substantiv,"Gehrung,Schere",f,Gehrungsschere,,,,,,,,,Gehrungsscheren,,,,,,,,,Gehrungsschere,,,,,,,,,Gehrungsscheren,,,,,,,,,Gehrungsschere,,,,,,,,,Gehrungsscheren,,,,,,,,,Gehrungsschere,,,,,,,,,Gehrungsscheren,,,,,,,,
Gehrungssäge,Substantiv,"Gehrung,Säge",f,Gehrungssäge,,,,,,,,,Gehrungssägen,,,,,,,,,Gehrungssäge,,,,,,,,,Gehrungssägen,,,,,,,,,Gehrungssäge,,,,,,,,,Gehrungssägen,,,,,,,,,Gehrungssäge,,,,,,,,,Gehrungssägen,,,,,,,,
Gehrungswinkel,Substantiv,"Gehrung,Winkel",m,Gehrungswinkel,,,,,,,,,Gehrungswinkel,,,,,,,,,Gehrungswinkels,,,,,,,,,Gehrungswinkel,,,,,,,,,Gehrungswinkel,,,,,,,,,Gehrungswinkeln,,,,,,,,,Gehrungswinkel,,,,,,,,,Gehrungswinkel,,,,,,,,
Gemüsehobel,Substantiv,"Gemüse,Hobel",m,Gemüsehobel,,,,,,,,,Gemüsehobel,,,,,,,,,Gemüsehobels,,,,,,,,,Gemüsehobel,,,,,,,,,Gemüsehobel,,,,,,,,,Gemüsehobeln,,,,,,,,,Gemüsehobel,,,,,,,,,Gemüsehobel,,,,,,,,
Generator,Substantiv,,m,Generator,,,,,,,,,Generatoren,,,,,,,,,Generators,,,,,,,,,Generatoren,,,,,,,,,Generator,,,,,,,,,Generatoren,,,,,,,,,Generator,,,,,,,,,Generatoren,,,,,,,,
