Watte,Substantiv,,f,Watte,,,,,,,,,Watten,,,,,,,,,Watte,,,,,,,,,Watten,,,,,,,,,Watte,,,,,,,,,Watten,,,,,,,,,Watte,,,,,,,,,Watten,,,,,,,,
Jagertee,Substantiv,,m,Jagertee,,,,,,,,,Jagertees,,,,,,,,,Jagertees,,,,,,,,,Jagertees,,,,,,,,,Jagertee,,,,,,,,,Jagertees,,,,,,,,,Jagertee,,,,,,,,,Jagertees,,,,,,,,
Serotonin,Substantiv,,n,Serotonin,,,,,,,,,,,,,,,,,,Serotonins,,,,,,,,,,,,,,,,,,Serotonin,,,,,,,,,,,,,,,,,,Serotonin,,,,,,,,,,,,,,,,,
Mintsauce,Substantiv,1,f,Mintsauce,,,,,,,,,Mintsaucen,,,,,,,,,Mintsauce,,,,,,,,,Mintsaucen,,,,,,,,,Mintsauce,,,,,,,,,Mintsaucen,,,,,,,,,Mintsauce,,,,,,,,,Mintsaucen,,,,,,,,
Tetrahydrofolsäure,Substantiv,,f,Tetrahydrofolsäure,,,,,,,,,,,,,,,,,,Tetrahydrofolsäure,,,,,,,,,,,,,,,,,,Tetrahydrofolsäure,,,,,,,,,,,,,,,,,,Tetrahydrofolsäure,,,,,,,,,,,,,,,,,
Weizengrieß,Substantiv,1,m,Weizengrieß,,,,,,,,,Weizengrieße,,,,,,,,,Weizengrießes,,,,,,,,,Weizengrieße,,,,,,,,,Weizengrieß,Weizengrieße,,,,,,,,Weizengrießen,,,,,,,,,Weizengrieß,,,,,,,,,Weizengrieße,,,,,,,,
Maleinsäure,Substantiv,,f,Maleinsäure,,,,,,,,,,,,,,,,,,Maleinsäure,,,,,,,,,,,,,,,,,,Maleinsäure,,,,,,,,,,,,,,,,,,Maleinsäure,,,,,,,,,,,,,,,,,
Baldrian,Substantiv,,m,Baldrian,,,,,,,,,Baldriane,,,,,,,,,Baldrians,,,,,,,,,Baldriane,,,,,,,,,Baldrian,,,,,,,,,Baldrianen,,,,,,,,,Baldrian,,,,,,,,,Baldriane,,,,,,,,
Graupel,Substantiv,,f,Graupel,,,,,,,,,Graupeln,,,,,,,,,Graupel,,,,,,,,,Graupeln,,,,,,,,,Graupel,,,,,,,,,Graupeln,,,,,,,,,Graupel,,,,,,,,,Graupeln,,,,,,,,
Schweinefleisch,Substantiv,1,n,Schweinefleisch,,,,,,,,,,,,,,,,,,Schweinefleisches,Schweinefleischs,,,,,,,,,,,,,,,,,Schweinefleisch,Schweinefleische,,,,,,,,,,,,,,,,,Schweinefleisch,,,,,,,,,,,,,,,,,
Neodymium,Substantiv,,n,Neodymium,,,,,,,,,,,,,,,,,,Neodymiums,,,,,,,,,,,,,,,,,,Neodymium,,,,,,,,,,,,,,,,,,Neodymium,,,,,,,,,,,,,,,,,
Eisnebel,Substantiv,,m,Eisnebel,,,,,,,,,Eisnebel,,,,,,,,,Eisnebels,,,,,,,,,Eisnebel,,,,,,,,,Eisnebel,,,,,,,,,Eisnebeln,,,,,,,,,Eisnebel,,,,,,,,,Eisnebel,,,,,,,,
Sonnencreme,Substantiv,1,f,Sonnencreme,,,,,,,,,Sonnencremes,,,,,,,,,Sonnencreme,,,,,,,,,Sonnencremes,,,,,,,,,Sonnencreme,,,,,,,,,Sonnencremes,,,,,,,,,Sonnencreme,,,,,,,,,Sonnencremes,,,,,,,,
Amylaldehyd,Substantiv,,m,Amylaldehyd,,,,,,,,,,,,,,,,,,Amylaldehyds,,,,,,,,,,,,,,,,,,Amylaldehyd,,,,,,,,,,,,,,,,,,Amylaldehyd,,,,,,,,,,,,,,,,,
Kochwasser,Substantiv,1,n,Kochwasser,,,,,,,,,-,,,,,,,,,Kochwassers,,,,,,,,,-,,,,,,,,,Kochwasser,,,,,,,,,-,,,,,,,,,Kochwasser,,,,,,,,,-,,,,,,,,
Käsekuchen,Substantiv,1,m,Käsekuchen,,,,,,,,,Käsekuchen,,,,,,,,,Käsekuchens,,,,,,,,,Käsekuchen,,,,,,,,,Käsekuchen,,,,,,,,,Käsekuchen,,,,,,,,,Käsekuchen,,,,,,,,,Käsekuchen,,,,,,,,
Kanalgas,Substantiv,,n,Kanalgas,,,,,,,,,Kanalgase,,,,,,,,,Kanalgases,,,,,,,,,Kanalgase,,,,,,,,,Kanalgas,Kanalgase,,,,,,,,Kanalgasen,,,,,,,,,Kanalgas,,,,,,,,,Kanalgase,,,,,,,,
Pentan,Substantiv,1,n,Pentan,,,,,,,,,Pentane,,,,,,,,,Pentans,,,,,,,,,Pentane,,,,,,,,,Pentan,,,,,,,,,Pentanen,,,,,,,,,Pentan,,,,,,,,,Pentane,,,,,,,,
Majoran,Substantiv,,m,Majoran,,,,,,,,,Majorane,,,,,,,,,Majorans,,,,,,,,,Majorane,,,,,,,,,Majoran,,,,,,,,,Majoranen,,,,,,,,,Majoran,,,,,,,,,Majorane,,,,,,,,
Flusspferdhaut,Substantiv,1,f,Flusspferdhaut,,,,,,,,,Flusspferdhäute,,,,,,,,,Flusspferdhaut,,,,,,,,,Flusspferdhäute,,,,,,,,,Flusspferdhaut,,,,,,,,,Flusspferdhäuten,,,,,,,,,Flusspferdhaut,,,,,,,,,Flusspferdhäute,,,,,,,,
Brenztraubensäure,Substantiv,,f,Brenztraubensäure,,,,,,,,,,,,,,,,,,Brenztraubensäure,,,,,,,,,,,,,,,,,,Brenztraubensäure,,,,,,,,,,,,,,,,,,Brenztraubensäure,,,,,,,,,,,,,,,,,
Amalgam,Substantiv,,n,Amalgam,,,,,,,,,Amalgame,,,,,,,,,Amalgams,,,,,,,,,Amalgame,,,,,,,,,Amalgam,,,,,,,,,Amalgamen,,,,,,,,,Amalgam,,,,,,,,,Amalgame,,,,,,,,
Marillenschnaps,Substantiv,1,m,Marillenschnaps,,,,,,,,,Marillenschnäpse,,,,,,,,,Marillenschnapses,,,,,,,,,Marillenschnäpse,,,,,,,,,Marillenschnaps,Marillenschnapse,,,,,,,,Marillenschnäpsen,,,,,,,,,Marillenschnaps,,,,,,,,,Marillenschnäpse,,,,,,,,
Hanfgarn,Substantiv,1,n,Hanfgarn,,,,,,,,,Hanfgarne,,,,,,,,,Hanfgarnes,Hanfgarns,,,,,,,,Hanfgarne,,,,,,,,,Hanfgarn,Hanfgarne,,,,,,,,Hanfgarnen,,,,,,,,,Hanfgarn,,,,,,,,,Hanfgarne,,,,,,,,
Kleinholz,Substantiv,,n,Kleinholz,,,,,,,,,Kleinhölzer,,,,,,,,,Kleinholzes,,,,,,,,,Kleinhölzer,,,,,,,,,Kleinholz,Kleinholze,,,,,,,,Kleinhölzern,,,,,,,,,Kleinholz,,,,,,,,,Kleinhölzer,,,,,,,,
Gerstenmalz,Substantiv,1,n,Gerstenmalz,,,,,,,,,-,,,,,,,,,Gerstenmalzes,,,,,,,,,-,,,,,,,,,Gerstenmalz,Gerstenmalze,,,,,,,,-,,,,,,,,,Gerstenmalz,,,,,,,,,-,,,,,,,,
Polyäthylen,Substantiv,,n,Polyäthylen,,,,,,,,,Polyäthylene,,,,,,,,,Polyäthylens,,,,,,,,,Polyäthylene,,,,,,,,,Polyäthylen,,,,,,,,,Polyäthylenen,,,,,,,,,Polyäthylen,,,,,,,,,Polyäthylene,,,,,,,,
Silikat,Substantiv,,n,Silikat,,,,,,,,,Silikate,,,,,,,,,Silikats,Silikates,,,,,,,,Silikate,,,,,,,,,Silikat,Silikate,,,,,,,,Silikaten,,,,,,,,,Silikat,,,,,,,,,Silikate,,,,,,,,
Matsch,Substantiv,,m,Matsch,,,,,,,,,Matsche,,,,,,,,,Matsches,,,,,,,,,Matsche,,,,,,,,,Matsch,,,,,,,,,Matschen,,,,,,,,,Matsch,,,,,,,,,Matsche,,,,,,,,
Bergluft,Substantiv,1,f,Bergluft,,,,,,,,,,,,,,,,,,Bergluft,,,,,,,,,,,,,,,,,,Bergluft,,,,,,,,,,,,,,,,,,Bergluft,,,,,,,,,,,,,,,,,
Kuttelkraut,Substantiv,,n,Kuttelkraut,,,,,,,,,-,,,,,,,,,Kuttelkrauts,Kuttelkrautes,,,,,,,,-,,,,,,,,,Kuttelkraut,,,,,,,,,-,,,,,,,,,Kuttelkraut,,,,,,,,,-,,,,,,,,
