lemma,wortart,kompositum,genus,nominativ singular,nominativ singular*,nominativ singular 1,nominativ singular 2,nominativ singular 3,nominativ singular 4,nominativ singular stark,nominativ singular schwach,nominativ singular gemischt,nominativ plural,nominativ plural*,nominativ plural 1,nominativ plural 2,nominativ plural 3,nominativ plural 4,nominativ plural stark,nominativ plural schwach,nominativ plural gemischt,genitiv singular,genitiv singular*,genitiv singular 1,genitiv singular 2,genitiv singular 3,genitiv singular 4,genitiv singular stark,genitiv singular schwach,genitiv singular gemischt,genitiv plural,genitiv plural*,genitiv plural 1,genitiv plural 2,genitiv plural 3,genitiv plural 4,genitiv plural stark,genitiv plural schwach,genitiv plural gemischt,dativ singular,dativ singular*,dativ singular 1,dativ singular 2,dativ singular 3,dativ singular 4,dativ singular stark,dativ singular schwach,dativ singular gemischt,dativ plural,dativ plural*,dativ plural 1,dativ plural 2,dativ plural 3,dativ plural 4,dativ plural stark,dativ plural schwach,dativ plural gemischt,akkusativ singular,akkusativ singular*,akkusativ singular 1,akkusativ singular 2,akkusativ singular 3,akkusativ singular 4,akkusativ singular stark,akkusativ singular schwach,akkusativ singular gemischt,akkusativ plural,akkusativ plural*,akkusativ plural 1,akkusativ plural 2,akkusativ plural 3,akkusativ plural 4,akkusativ plural stark,akkusativ plural schwach,akkusativ plural gemischt
Unterhose,Substantiv,,f,Unterhose,,,,,,,,,Unterhosen,,,,,,,,,Unterhose,,,,,,,,,Unterhosen,,,,,,,,,Unterhose,,,,,,,,,Unterhosen,,,,,,,,,Unterhose,,,,,,,,,Unterhosen,,,,,,,,
Salatblatt,Substantiv,1,n,Salatblatt,,,,,,,,,Salatblätter,,,,,,,,,Salatblattes,Salatblatts,,,,,,,,Salatblätter,,,,,,,,,Salatblatt,,,,,,,,,Salatblättern,,,,,,,,,Salatblatt,,,,,,,,,Salatblätter,,,,,,,,
Bierchen,Substantiv,,n,Bierchen,,,,,,,,,Bierchen,,,,,,,,,Bierchens,,,,,,,,,Bierchen,,,,,,,,,Bierchen,,,,,,,,,Bierchen,,,,,,,,,Bierchen,,,,,,,,,Bierchen,,,,,,,,
Müllpresse,Substantiv,1,f,Müllpresse,,,,,,,,,Müllpressen,,,,,,,,,Müllpresse,,,,,,,,,Müllpressen,,,,,,,,,Müllpresse,,,,,,,,,Müllpressen,,,,,,,,,Müllpresse,,,,,,,,,Müllpressen,,,,,,,,
Bohrhammer,Substantiv,,m,Bohrhammer,,,,,,,,,Bohrhämmer,,,,,,,,,Bohrhammers,,,,,,,,,Bohrhämmer,,,,,,,,,Bohrhammer,,,,,,,,,Bohrhämmern,,,,,,,,,Bohrhammer,,,,,,,,,Bohrhämmer,,,,,,,,
Best-of-CD,Substantiv,1,f,Best-of-CD,,,,,,,,,Best-of-CDs,,,,,,,,,Best-of-CD,,,,,,,,,Best-of-CDs,,,,,,,,,Best-of-CD,,,,,,,,,Best-of-CDs,,,,,,,,,Best-of-CD,,,,,,,,,Best-of-CDs,,,,,,,,
PC,"Substantiv,Abkürzung",,m,PC,,,,,,,,,,,PCs,PC,,,,,,PCs,,,,,,,,,,,PCs,PC,,,,,,PC,,,,,,,,,,,PCs,PC,,,,,,PC,,,,,,,,,,,PCs,PC,,,,,
Tonne,Substantiv,,f,Tonne,,,,,,,,,Tonnen,,,,,,,,,Tonne,,,,,,,,,Tonnen,,,,,,,,,Tonne,,,,,,,,,Tonnen,,,,,,,,,Tonne,,,,,,,,,Tonnen,,,,,,,,
Fibel,Substantiv,,f,Fibel,,,,,,,,,Fibeln,,,,,,,,,Fibel,,,,,,,,,Fibeln,,,,,,,,,Fibel,,,,,,,,,Fibeln,,,,,,,,,Fibel,,,,,,,,,Fibeln,,,,,,,,
Fußballtor,Substantiv,1,n,Fußballtor,,,,,,,,,Fußballtore,,,,,,,,,Fußballtores,Fußballtors,,,,,,,,Fußballtore,,,,,,,,,Fußballtor,Fußballtore,,,,,,,,Fußballtoren,,,,,,,,,Fußballtor,,,,,,,,,Fußballtore,,,,,,,,
Boaschlange,Substantiv,1,f,Boaschlange,,,,,,,,,Boaschlangen,,,,,,,,,Boaschlange,,,,,,,,,Boaschlangen,,,,,,,,,Boaschlange,,,,,,,,,Boaschlangen,,,,,,,,,Boaschlange,,,,,,,,,Boaschlangen,,,,,,,,
Korinthe,Substantiv,,f,Korinthe,,,,,,,,,Korinthen,,,,,,,,,Korinthe,,,,,,,,,Korinthen,,,,,,,,,Korinthe,,,,,,,,,Korinthen,,,,,,,,,Korinthe,,,,,,,,,Korinthen,,,,,,,,
Vogelfeder,Substantiv,1,f,Vogelfeder,,,,,,,,,Vogelfedern,,,,,,,,,Vogelfeder,,,,,,,,,Vogelfedern,,,,,,,,,Vogelfeder,,,,,,,,,Vogelfedern,,,,,,,,,Vogelfeder,,,,,,,,,Vogelfedern,,,,,,,,
Lilie,Substantiv,,f,Lilie,,,,,,,,,Lilien,,,,,,,,,Lilie,,,,,,,,,Lilien,,,,,,,,,Lilie,,,,,,,,,Lilien,,,,,,,,,Lilie,,,,,,,,,Lilien,,,,,,,,
Windjammer,Substantiv,,m,Windjammer,,,,,,,,,Windjammer,,,,,,,,,Windjammers,,,,,,,,,Windjammer,,,,,,,,,Windjammer,,,,,,,,,Windjammern,,,,,,,,,Windjammer,,,,,,,,,Windjammer,,,,,,,,
Schuhgeschäft,Substantiv,1,n,Schuhgeschäft,,,,,,,,,Schuhgeschäfte,,,,,,,,,Schuhgeschäftes,Schuhgeschäfts,,,,,,,,Schuhgeschäfte,,,,,,,,,Schuhgeschäft,Schuhgeschäfte,,,,,,,,Schuhgeschäften,,,,,,,,,Schuhgeschäft,,,,,,,,,Schuhgeschäfte,,,,,,,,
Honigbiene,Substantiv,1,f,Honigbiene,,,,,,,,,Honigbienen,,,,,,,,,Honigbiene,,,,,,,,,Honigbienen,,,,,,,,,Honigbiene,,,,,,,,,Honigbienen,,,,,,,,,Honigbiene,,,,,,,,,Honigbienen,,,,,,,,
Piepmatz,Substantiv,1,m,Piepmatz,,,,,,,,,Piepmätze,,,,,,,,,Piepmatzes,,,,,,,,,Piepmätze,,,,,,,,,Piepmatz,,,,,,,,,Piepmätzen,,,,,,,,,Piepmatz,,,,,,,,,Piepmätze,,,,,,,,
Stechapfel,Substantiv,1,m,Stechapfel,,,,,,,,,Stechäpfel,,,,,,,,,Stechapfels,,,,,,,,,Stechäpfel,,,,,,,,,Stechapfel,,,,,,,,,Stechäpfeln,,,,,,,,,Stechapfel,,,,,,,,,Stechäpfel,,,,,,,,
Transistorradio,Substantiv,1,n,Transistorradio,,,,,,,,,Transistorradios,,,,,,,,,Transistorradios,,,,,,,,,Transistorradios,,,,,,,,,Transistorradio,,,,,,,,,Transistorradios,,,,,,,,,Transistorradio,,,,,,,,,Transistorradios,,,,,,,,
Lesezimmer,Substantiv,1,n,Lesezimmer,,,,,,,,,Lesezimmer,,,,,,,,,Lesezimmers,,,,,,,,,Lesezimmer,,,,,,,,,Lesezimmer,,,,,,,,,Lesezimmern,,,,,,,,,Lesezimmer,,,,,,,,,Lesezimmer,,,,,,,,
Rapshonig,Substantiv,1,m,Rapshonig,,,,,,,,,Rapshonige,,,,,,,,,Rapshonigs,,,,,,,,,Rapshonige,,,,,,,,,Rapshonig,,,,,,,,,Rapshonigen,,,,,,,,,Rapshonig,,,,,,,,,Rapshonige,,,,,,,,
